"","Title","Authors","Co.authors","Editors","Illustrators","Publisher","Edition","Year","Volume","ISBN","ISBN13","ISSN","Call.No","Category","Subject","Type","Description","Tags","Series"
"47","A World History of Art","Hugh Honour; John Fleming","","","","Papermac","",1984,NA,"0333371852",9780333371855,"","H1","Art",NA,"Book","A World History of Art [May 24, 1984] Honour, Hugh and Fleming, John - from Amzon","art, history",""
"133","Baktiku untuk Bangsa dan Negeri","Maria Goreti","","","","Penerbit Media Maxima","",2013,NA,"",9786028847681,"","H1","",NA,"Book","","",""
"173","Bersama Meraih Asa. Program Psikososial bagi Perempuan Pengungsi Aceh Pasca Tsunami","Yayasan Pulih & JICA","","","","","",NA,NA,"",NA,"","H1","",NA,"Book","","",""
"200","Budaya Bebas: Bagaimana Media Memakai Teknologi dan Hukum untuk Membatasi Budaya dan Mengontrol Kreativitas","Lawrence Lessig","","","","KUNCI Cultural Studies Center","",2011,NA,"",9786021969205,"","H1","",NA,"Book","","",""
"277","Consumptionomics. Peran Asia dalam Menciptakan Model Kapitalisme Baru","Chandran Nair","","","","Red & White Publishing","",2013,NA,"",9789791008693,"","H1","",NA,"Book","","",""
"282","Corporate Culture and Performance","John P. Kotter; James L. Heskett","","","","Free Press","First Edition, 3rd printing",1992,NA,"0029184673",9780029184677,"","H1","Unknown",NA,"Book","Draws from research at such firms as Hewlett-Packard, Xerox, ICI, and Nissan to show how the culture--shared beliefs, attitudes, and practices--of a company can influence its performance for better or worse. - from Amzon","Company Profiles, Leadership, Management, Management Science, Entrepreneurship",""
"302","Democracy, Accountability, and Representation (Cambridge Studies in the Theory of Democracy)","","","","","Cambridge University Press","",1999,NA,"0521646162",9780521646161,"","H1","Unknown",NA,"Book","This book examines whether mechanisms of accountability characteristic of democratic systems are sufficient to induce the representatives to act in the best interest of the represented. The first part of the volume focuses on the role of elections, distinguishing different ways in which they may cause representation. The second part is devoted to the role of checks and balances, between the government and the parliament as well as between the government and the bureaucracy. Overall, the essays combine theoretical discussions, game-theoretic models, case studies, and statistical analyses, within a shared analytical approach and a standardized terminology. The empirical material is drawn from the well established democracies as well as from new democracies. - from Amzon","Democracy, History & Theory, Political History, Political Ideologies",""
"342","Educational Psychology","","","Charles E. Skinner","","Prentice-Hall","Eastern Economy Edition",1984,NA,"",NA,"","H1","",NA,"Book","","",""
"361","Escape from impasse: the decision to open Japan","Mitani Hiroshi","","","","","",NA,NA,"4903452069",9784903452067,"","H1","Unknown",NA,"Book","","",""
"377","Final Report of The International People's Tribunal on Crimes Against Humanity in Indonesia 1965","IPT 1965 Foundation","","","","Ultimus","",2017,NA,"",9786028331791,"","H1","",NA,"Book","","",""
