"","Title","Authors","Co.authors","Editors","Illustrators","Publisher","Edition","Year","Volume","ISBN","ISBN13","ISSN","Call.No","Category","Subject","Type","Description","Tags","Series"
"5","[Menyiasati] Kota tanpa Warga","Jo Santoso","","","","Kepustakaan Populer Gramedia","",2006,NA,"9799100550",NA,"","D1","Urbanism, Indonesian City",NA,"Book","","",""
"14","2019 Training Catalog","","","","","IMF Institute for Capacity Development","",2018,NA,"",NA,"","D1","Publication",NA,"Publication","","",""
"44","A Study of the Eastern Waterfront of MumbaiI","Rahul Mehrotra; Anirudh Paul; Pankaj Joshi","","","","Urban Design Research Institute","",2004,NA,"8190197401",NA,"","D1","",NA,"Book","","",""
"51","Aceh-Nias Settlement and Housing Recovery","","","","","UN-Habitat","",2009,NA,"",9789211321425,"","D1","",NA,"Book","","",""
"70","All Barcelona","","","","","","",1995,NA,"8437806275",9788437806273,"","D1","Unknown",NA,"Book","","",""
"71","All London: Colour Photographs","Editorial Escudo de Oro","","","","FISA","",1989,NA,"8437810108",9788437810102,"","D1","Unknown",NA,"Book","Pictorial guide to London with 165 colour illustrations. - from Amzon","",""
"72","All Madrid (English Edition)","Erica Restall","","","","Editorial Escudo De Oro","4th Printing",1982,NA,"8437804248",9788437804248,"","D1","Unknown",NA,"Book","","",""
"78","American Masterworks: The Twentieth-Century House","Kenneth Frampton","","","","Rizzoli","First Edition",1995,NA,"0847818942",9780847818945,"","D1","Unknown",NA,"Book","Surveys modern domestic architecture, and describes the influences of Frank Lloyd Wright, Michael Graves, Philip Johnson, and others. - from Amzon","Residential, History, Regional, History, Design & Construction, Architecture",""
"98","Architecture, Form, Space and Order","Francis D. K. Ching","","","","Van Nostrand Reinhold","",1980,NA,"0442215347",9780442215347,"","D1","Unknown",NA,"Book","","",""
"117","Art and History of Assisi: Year 2000 Jubilee City","","","","","Casa Editrice Bonechi","",1998,NA,"2951284004",9782951284005,"","D1","Unknown",NA,"Book","Discover Assisi’s rich history, monument and artwork with this beautiful volume. Its detailed texts and superb historical and artistic illustrations and maps provide an overview of the fascinating masterpieces of the city. <br/>This illustrated large-format book will provide you with fond memories of your last trip to Assisi or inspire you to plan your next vacation in Italy. - from Amzon","Criticism, History",""
"155","Belltown Paradise / Making Their Own Plans","","","","","WhiteWalls","",2005,NA,"0945323050",9780945323051,"","D1","Unknown",NA,"Book","<div>Urban communities have long tried to defend their neighborhoods from environmental and social blight. This book examines the diverse ways in which artists, environmental activists, and citizens work to revitalize their urban environments.<br><BR><I>Belltown Paradise</I> investigates grassroots renovation efforts in the Belltown neighborhood of Seattle, exploring the work of activists there, including their creation of the Belltown P-Patch community garden and conversion of three historic cottages into writers' residences and a community center. The volume also features the first in-depth survey of artist Buster Simpson's work in Belltown.<br><I></I><I>Making Their Own Plans</I> examines preservation projects in Portland, Chicago, Hamburg, and Barcelona. From the Resource Center's work in Chicago to develop 6,000 acres of vacant city land into farms to the transformation of an old hospital into a community center, the book offers fascinating accounts of independent urban activism around the world.<BR><I>Belltown Paradise</I> and <I>Making Their Own Plans</I> present inspiring chronicles of how concerned citizens affected community change, making these volumes invaluable for activists and policymakers.</div> - from Amzon","Architecture, Social Sciences, Sociology, Architecture, Sociology",""
"161","Benteng Wolio","","","","","","",NA,NA,"",NA,"","D1","",NA,"Publication","","",""
"167","Berlin - A City Divided","","Susan Buddenberg; Thomas Henseler","","","","",NA,NA,"3939080756",9783939080756,"","D1","Unknown",NA,"Book","","",""
"195","Bruges and its beauties","","","","","","",1986,NA,"",NA,"","D1","",NA,"Book","","",""
"198","Budapest in 93 Colour Photographs","Peter Dobai","","","","Corvina","",1986,NA,"9631327833",9789631327830,"","D1","Unknown",NA,"Book","Hard cover new book - from Amzon","",""
"237","Chicago","","","","","Irving Weisdorf & Co. Ltd.","",1995,NA,"",NA,"","D1","",NA,"Book","","",""
"246","City and the State: Singapore's Built Environment Revisited","Ooi Giok Ling; Kenson Kwok","","","","Oxford University Press","",1997,NA,"0195882636",9780195882636,"","D1","Unknown",NA,"Book","This collection takes a fresh look at Singapore's built environment in the thirty years since independence by highlighting past, present, and future land-use planning and development. - from Amzon","Architecture, Geography, Human Geography, Specific Demographics, Regional Planning",""
"289","Cultural Mapping: A Guide to Understanding Place, Community and Continuity","Janet Pillai","","","","Strategic Information and Research Development Centre","",2017,NA,"9675832827",9789675832826,"","D1","Unknown",NA,"Book","This Manual on cultural mapping provides an invaluable resource for everyone interested in having a deeper understanding of the unique character and identity of a historic place and its community. The simple step by step procedures outlining the processes, tools and techniques for collecting and assessing the cultural assets and resources of any community provide the user with a clear methodology to unravel the complex and significant elements which wake up any human settlement. This has been further demonstrated with the illustration from a case study of cultural mapping within the UNESCO World Heritage Site of George Town, Penang. The manual is a remarkable resource which advocates that cultural mapping becomes the basis for all future urban planning studies to ensure that sensitive and appropriate decisions are made in the management and development of historic sites and communities. A must-use for policy makers, planners, cultural advocates and community leaders. -- Ar. Laurence Loh Deputy President, the Heritage of Malaysia Trust (Badan Warisan Malaysia) - from Amzon","",""
"297","Data Potensi dan Produksi Hasil Hutan Bukan Kayu Nasional","","","","","Direktorat Usaha Jasa Lingkungan & HHBK Hutan Produksi Direktorat Jenderal Pengelolaan Hutan Produksi Lestari","",2018,NA,"",NA,"","D1","Publication",NA,"Publication","","",""
"329","Du Willst Wirklich Wohnen Wie Deine Mutter","","","","","Kristin Feireiss, Hans-Jurgen Commerrell","PPAG Architects",2018,NA,"",NA,"","D1","Architecture",NA,"Publication","","",""
"331","Dublin, Portrait of a City","Peter Zoeller; Joseph McArdle","","","","Gill & Macmillan Ltd","",1997,NA,"0717125386",9780717125388,"","D1","Unknown",NA,"Book","Dublin is one of the most historic and exciting cities in Europe. Beautifully situated on the semi-circle of Dublin Bay with mountains in the background, it has successively been a Viking trading centre, a Norman city, the centre of English royal power in Ireland, a Georgian showpiece, a Victorian commercial centre, and now is the capital of an independent member state of the European Union. Award-winning photographer Peter Zoeller captures all of this diversity, richness and beauty in a series of stunnning photographs, in both colour and black and white, reflecting the social and historical traditions of the city. This beautiful portfolio of Zoller's work is complemented by Joseph McArdle's subtle and witty text, making it a perfect gift book to keep and treasure for Dubliner and visitor alike. Other books by Peter Zoeller Heritage of Ireland Heritage of Ireland - French Edition Heritage of Ireland - German Edition. - from Amzon","Cities, Collections, Catalogues & Exhibitions, General, Pictorial",""
"394","From the Past Into the Future: Creative City Yokohama","","","","","BankART1929","",2008,NA,"",9784902736144,"","D1","",NA,"Book","","",""
"421","Global Development in an Increasingly Urbanised World","","","","","","Internatinal Conference Misereor-Concilium",2018,NA,"",NA,"","D1","Architecture",NA,"Publication","","",""
"431","Green Dream: How Future Cities Can Outsmart Nature","Winy Maas; John Thackara","","","","NAi Publishers","",2010,NA,"9056627414",9789056627416,"","D1","Unknown",NA,"Book","<I>Green Dream</I> investigates what ""green"" means in practical terms for design, architecture and urbanism. Led by The Why Factory, the global urbanist thinktank headed by Winy Maas, experts in the field debate what is currently considered green and how the term ought to be defined going forward, challenging architectural conventions and looking into the potential of new green architecture. Recognizing that green buildings alone do not make a green city, <I>Green Dream </I>also looks at broader green solutions for cities and how they might be implemented. Most importantly of all, the book dares to ask ""Is a green city actually feasible?"" and attempts to answer this question through the help of case studies. Drawing on 36 illustrated green projects, and with essays by John Thackara and Winy Maas, this volume outlines future goals for architectural and urban projects, and draws on research by The Why Factory, MVRDV and Delft University of Technology. - from Amzon","Urban & Land Use Planning, Sustainability & Green Design",""
"463","Het idee van de stad","","","","","Akademie Arnhem Pers","",1983,NA,"",NA,"","D1","",NA,"Book","","",""
"480","Holland, English Edition","D. v. Kooten","","","","Uitgeverij Helmond","",1993,NA,"9025289878",9789025289874,"","D1","Unknown",NA,"Book","","",""
"481","HolzWerkHolz Kaden Klingbeil Architecten, Berlin.","","","","","Kristin Feireiss, Hans-Jurgen Commerrell","Kaden Klingbeil Architekten, Berlin.",2012,NA,"",NA,"","D1","Architecture",NA,"Publication","","",""
"496","Humanity on the move: Unlocking the transformative power of cities","Dirk Messner","Frauke Kraas","","","German Advisory Council on Global Change (WBGU)","1",2016,NA,"",9783936191721,"","D1","Urbanism",NA,"Book","","",""
"497","Hundred-mile City","Deyan Sudjic","","","","Andre Deutsch Ltd","1st",1992,NA,"0233987401",9780233987408,"","D1","Unknown",NA,"Book","Architect Sudjic presents his study of late 20th century world cities. - from Amzon","Urban & Land Use Planning, Social Sciences",""
"525","Indonesia and Climate Change: Current Status and Policies","","","","","PT Pelangi Energi Abadi Citra Enviro (PEACE)","",2007,NA,"",NA,"","D1","",NA,"Publication","","",""
"529","Indonesia Disaster Risk Financing and Insurance Strategy","","","","","Ministry of Finance Republic of Indonesia","",2018,NA,"",NA,"","D1","Publication",NA,"Publication","","",""
"530","Indonesia Economic Quarterly September 2018: Urbanization for all","","","","","The World Bank","",2018,NA,"",NA,"","D1","Urbanism",NA,"Publication","","",""
"591","Japanese Civil Society at a Crossroad: CIVICUS Civil Society Index Report for Japan","","","Naoto Yamauchi; Naoko Okuyama; Midori Matsushima","","","",2011,NA,"",NA,"","D1","",NA,"Publication","","",""
"735","Leuven, het jeugdig hart van Brabant (Dutch Edition)","Jan Staes","","","","Lannoo","",1981,NA,"9020910086",9789020910087,"","D1","Unknown",NA,"Book","","Belgium, Foreign Language Study & Reference",""
"746","Los Angeles: World Cities (World Cities Series)","","","","","Wiley","",1994,NA,"1854902938",9781854902931,"","D1","Unknown",NA,"Book","Los Angeles possesses a heterogeneous urban fabric of many layers, unfolding a collective, cultural organism which fosters and continues to breed an extraordinary range of buildings. This volume provides a unique insight into the exuberant, beguiling and wholly eclectic architecture of Los Angeles. The condition of the city today is examined, encompassing a wealth of buildings by some of the world's leading architects, whilst future perspectives paint a picture of a city that is undergoing constant restructuring in order to accommodate its burgeoning cultural mix. - from Amzon","History, Regional, Architecture",""
"748","Lourdes - Bernadette Soubirous: The Life and the Apparitions","Giulia Menotti","","","","Casa Editrice Bonechi","",1991,NA,"8870090256",9788870090253,"","D1","Unknown",NA,"Book","","",""
"783","Medellin Topograaphy of Knowledge","","","","","Kristin Feireiss, Hans-Jurgen Commerrell","Seoul Architecture Festival 2015",2015,NA,"",NA,"","D1","Architecture",NA,"Publication","","",""
"805","Mengeja Keseharian: Sejarah Kehidupan Masyarakat Kota Surabaya","Bachtiar Ridho E.","","Arya W. Wirayuda","","Departemen Ilmu Sejarah UNAIR Surabaya","",2013,NA,"",9789791854115,"","D1","",NA,"Book","","",""
"878","New Directions In Architecture Education","","","","","ANCB The Aedes Metropolitan Laboratory ","Internatinal Architectural Education Summit Aedes Network Campus Berlin",2013,NA,"",NA,"","D1","Architecture",NA,"Book","","",""
"881","New Product Development: Managing and Forecasting for Strategic Success","Robert J. Thomas","","","","Wiley","1",1993,NA,"0471572268",9780471572268,"","D1","Unknown",NA,"Book","Learn how to maintain a firm grasp of a project throughout its development, how to forecast with greater accuracy and how to ensure the successful launch of a product. Covers new consumer and industrial products, the latest services and technologies. Contains a slew of examples and case studies to illustrate concepts. - from Amzon","Management & Leadership, Marketing, Entrepreneurship, Marketing, Economics, Marketing, Business Development, Entrepreneurship",""
"884","New York Landmarks : A Collection of Architecture and Historical Details","Charles J. Ziga","","","","DoveTail Books","",1993,NA,"0963667300",9780963667304,"","D1","Unknown",NA,"Book","","",""
"885","New Zealand Aotearoa (Four Page Centerfold)","","","","","The Landscape Collection","",2017,NA,"0959787704",9780959787702,"","D1","Unknown",NA,"Book","Captured within the pages of this book are stunning photographs of the land New Zealanders call home. - from Amzon","",""
"902","Orang Laut-Bajak Laut-Raja Laut","Adrian B. Lapian ","","","","Komunitas Bambu","",2009,NA,"9793731591",NA,"","D1","",NA,"Book","","",""
"920","Paris","Magi; Giovanna","","","","Bonechi","",1999,NA,"8870092046",9788870092042,"","D1","Unknown",NA,"Book","Book by Magi; Giovanna - from Amzon","Architecture, Architecture",""
"922","Pasar di Jawa pada Masa Mataram Kuna","Titi Surti Nastiti","","","","PT Dunia Pustaka Jaya","",2003,NA,"9794193135",NA,"","D1","",NA,"Book","","",""
"933","Peluang dan Kebijakan Pengurangan Emisi ","","","","","Badan Kebijakan Fiskal Departemen Keuangan","",2009,NA,"",NA,"","D1","",NA,"Publication","","","Opsi-opsi Pembangunan Rendah Karbon untuk Indonesia"
"939","Pembangunan Untuk Siapa?: Dampak Proyek Reklamasi terhadap Perempuan Nelayan dan Anak di Pantai Utara Jakarta, Indonesia","Midaria Novawanty Saragih; Dedy Ramanta","","","","Koalisi Rakyat untuk Keadilan Perikanan (KIARA)","",2009,NA,"",9789791955928,"","D1","",NA,"Book","","",""
"940","Pembangunan Yang Tidak Berkelanjutan: refleksi kritis pembangunan Indonesia","M. Baiquni, M.A.; Susilawardani","","","","Transmedia Global Wacana","",2002,NA,"979969390X",NA,"","D1","",NA,"Book","","",""
"970","Peraturan Menteri Dalam Negeri Nomor 57 Tahun 2010 Tentang Pedoman Standar Pelayanan Perkotaan","","","","","Kementerian Dalam Negeri Direktorat Jenderal Bina Pembangunan Daerah","",2010,NA,"",NA,"","D1","Law",NA,"Publication","","",""
"978","Perencanaan Kota Komprehensif","Melville C. Branch","","","","Gadjah Mada University Press","",1995,NA,"9794203378",NA,"","D1","",NA,"Book","","",""
"997","Peter Bialobrzeski: Neon Tigers","Florian Hanig; Christof Ribbat","","","","Hatje Cantz Publishers","1st",2004,NA,"3775713948",9783775713948,"","D1","Unknown",NA,"Book","Photographer Peter Bialobrzeski here merges the seven Asian cities of Bangkok, Kuala Lumpur, Hong Kong, Shanghai, Jakarta, Singapore, and Shenzhen into a virtual megatropolis. The result is a view of a world that no longer seems real but appears instead as a series of dream-images from an eccentric director or computer game designer. References to reality evoke a sense of conflict in the viewer, as appreciation for the beauty of the absurd competes with recognition of an irreversible process of change in urban living space. Two different growth models are exposed: unscrupulous, uncontrolled expansion, as in Bangkok, and controlled, yet equally unscrupulous growth in a city like Shanghai. The pictures burst with conflicting signs and symbols, mostly indecipherable to the western viewer, a semiotic overkill held in check only by the edge of the picture frame. - from Amzon","Individual Artists, Color, Individual Photographers, Foreign Language Study & Reference",""
"1005","Planning for Sustainable Asian Cities","","","","","Asian Planning Schools Association (APSA)","",2011,NA,"",NA,"","D1","",NA,"Publication","","",""
"1008","Playing Cities Making Sport","Andy Fuller","","","","","1st edition",2014,NA,"",NA,"","D1","humanity",NA,"Book","","Jakarta, Sport",""
"1017","Post-Disaster Conservation Manual for Kotagede Heritage District","Dwita Hadi; Titi Handayani","","","","Jogja Heritage Society (JHS)","",2009,NA,"",NA,"","D1","",NA,"Book","","",""
"1034","Profil APEKSI","","","","","Asosiasi Pemerintah Kota Seluruh Indonesia","",NA,NA,"",NA,"","D1","",NA,"Other","","",""
"1051","Public Space in Urban Asia","William S.W. Lim; Marco Kusumawijaya","","","","WSPC","",2013,NA,"9814578320",9789814578325,"","D1","Unknown",NA,"Book","<p>Over the past few decades, rapid urbanisation has threatened to erode public space, especially in emerging economies. Market forces that prioritise profit generation are allowed to construct venues of consumption in its place. Though their physical appearance may resemble traditional public space, in reality, they are greatly restrictive and diminished in affordability, accessibility and social meaning. It is in this context that William SW Lim, chairman of Asian Urban Lab, has brought together architects, designers, historians, sociologists and urbanists from the region to discuss public space in selected Asian cities.</p><p>Part One contains essays from participants from Chongqing, Hong Kong, Jakarta, Kuala Lumpur, Singapore and Taipei and observations from commentators. Several essays by William SW Lim on the subject round off the discussion in Part Two. The thoughtful essays in <i>Public Space in Urban Asia</i> emphasise how engaging with the present actuality of cities and public awareness of spatial justice in cities are crucial — for it is the achievement of spatial justice that will help create a greater level of happiness across societies in our increasingly urbanised world.</p><b>Contents:</b><ul><ul><li>Introduction and Acknowledgements</li><li>Foreword — Public Space in Asia: Ways of Knowing and Acting <i>(Leon Van Schaik)</i></li></ul><li><b><i>Part I: Public Space in Urban Asia:</i></b><ul><li>Public Space Today <i>(William S W Lim)</i></li><li>The Multiple Spaces of Bukit Brown <i>(Terence Chong and Chua Ai Lin)</i></li><li>Vestigial as Alternative: The KTM Rail Corridor and the Search for the Un-regularized <i>(Liew Kai Khiun)</i></li><li>The End of the Railroad in Singapore: A Photo Essay <i>(Claire Leow)</i></li><li>Singapore's Void Decks <i>(Stephen Cairns)</i></li><li>Hawker Centres: Siting/Sighting Singapore's Food Heritage <i>(Randy Chan and Jolene Lee)</i></li><li>Carnivalism in Public Spaces in Chongqing <i>(Wei Haoyan)</i></li><li>Taxonomy of Public Space in Contemporary Hong Kong <i>(Tat Lam and Benedetta Tavecchia)</i></li><li>Common Space and Public Space in Contemporary Urbanisation <i>(Marco Kusumawijaya)</i></li><li>Thick Crust of Time: Kuala Lumpur <i>(Lim Teng Ngiom)</i></li><li>Illegal Architecture: In the Name of Community <i>(Roan Ching-Yueh)</i></li></ul></li><li><b><i>Commentaries:</i></b><ul><li>Re-making Public Space Through and in Asia <i>(Jane M Jacobs)</i></li><li>Recalling the Political in Public Space <i>(H Koon Wee)</i></li><li>Sustaining Publics and Their Spaces: William Lim's Writings on Architecture and Space <i>(Lilian Chee)</i></li></ul></li><li><b><i>Part II: Change We Must and Other Essays:</i></b><ul><li>Global Dynamic Change and Power Rebalance <i>(William S W Lim)</i></li><li>Commentary on Incomplete Urbanism <i>(Andrew Lee, Leong Teng Wui and Ong Swee Hong)</i></li><li>Spatial Justice and Happiness <i>(William S W Lim)</i></li><li>Spatial Justice — A Singapore Case Study <i>(William S W Lim)</i></li><li>Change We Must <i>(William S W Lim)</i></li><li>Works Cited</li></ul></li></ul><br /><b>Readership:</b> Graduate and undergraduate students majoring in architecture, urban planning, sociology and geography; general readers interested in cities, heritage and development; city planners, developers, policy makers and economists.<br /> - from Amzon","Urban & Land Use Planning, Urban & Regional, Urban Planning & Development, Urban, Asian, City Planning & Urban Development, Specialty Boutique, Urban & Land Use Planning, Urban & Regional, Urban Planning & Development, Urban",""
