"","Title","Authors","Co.authors","Editors","Illustrators","Publisher","Edition","Year","Volume","ISBN","ISBN13","ISSN","Call.No","Category","Subject","Type","Description","Tags","Series"
"26","A Case Study in Socio-hydrology: Flood Events in Jakarta, Indonesia","Giorgio Faedo","","","","","",2014,NA,"",NA,"","H2","",NA,"Thesis","","",""
"32","A Handbook of Industrial Ecology","","","","","Edward Elgar Pub","1",2002,NA,"1840645067",9781840645064,"","H2","Unknown",NA,"Book","Industrial ecology is coming of age and this superb book brings together leading scholars to present a state-of-the-art overviews of the subject. Each part of the book comprehensively covers the following issues in a systematic style: * the goals and achievements of industrial ecology and the history of the field * methodology, covering the main approaches to analysis and assessment * economics and industrial ecology * industrial ecology at the national/regional level * industrial ecology at the sectoral/materials level * applications and policy implications. The authors are all experts at the cutting edge of the field and the bibliography alone will prove useful as a comprehensive guide to the literature. This outstanding handbook will be an indispensable reference for students and scholars working in environmental management, industrial ecology and environmental and ecological studies. - from Amzon","Environmental Economics, Sustainable Development, Ecology, Environmental Science",""
"42","A Random Walk Down Wall Street: The Time-Tested Strategy for Successful Investing (Ninth Edition)","Burton G. Malkiel","","","","W. W. Norton & Company","9",2007,NA,"0393062457",9780393062458,"","H2","Unknown",NA,"Book","<p><strong>The million-copy bestseller, revised and updated with new investment strategies for retirement and the insights of behavioral finance.</strong></p> Updated with a new chapter that draws on behavioral finance, the field that studies the psychology of investment decisions, here is the best-selling, authoritative, and gimmick-free guide to investing. Burton Malkiel evaluates the full range of investment opportunities, from stocks, bonds, and money markets to real estate investment trusts and insurance, home ownership, and tangible assets such as gold and collectibles. This edition includes new strategies for rearranging your portfolio for retirement, along with the book’s classic life-cycle guide to investing, which matches the needs of investors in any age bracket. <i>A Random Walk Down Wall Street</i> long ago established itself as a must-read, the first book to purchase before starting a portfolio. So whether you want to brief yourself on the ways of the market before talking to a broker or follow Malkiel’s easy steps to managing your own portfolio, this book remains the best investing guide money can buy. - from Amzon","Economics, Introduction",""
"61","Age of The Book: Why Publishing Has Never Been Better","","","","","Prospect","",2002,NA,"",NA,"","H2","Social Activism",NA,"Publication","","",""
"79","Among the Dead Cities: Is the Targeting of Civilians in War Ever Justified?","A. C. Grayling","","","","Bloomsbury Publishing PLC","",2007,NA,"0747586039",9780747586036,"","H2","Unknown",NA,"Book","Britain and the USA carried out a massive bombing offensive against the cities of Germany and Japan in the course of the Second World War, which ended with the destruction of Hamburg, Dresden, Tokyo, Hiroshima and Nagasaki. Was the bombing of civilian targets justified by the necessities of war? Or was it, in fact, a crime against humanity? How should we, the descendants of the Allies who won the victory in that war, reply to the moral challenge of the descendants of those whose cities were targeted? A.C. Grayling looks at the stands people took, both for and against, and crucially asks what the lessons are that we can learn for today about how people should behave in a world of tension and moral confusion, of terrorism and fragile democracies. ""Among the Dead Cities"" is both a lucid and revealing work of modern history and an investigation of conscience into one of the last remaining controversies of that time. - from Amzon","",""
"89","Anggaran Pro Rakyat Miskin: Panduan untuk Jurnalis","","","","","Perkumpulan Prakarsa","",2010,NA,"",9789799955326,"","H2","",NA,"Book","","",""
"118","Arus Balik - sebuah novel sejarah","Pramoedya Ananta Toer","","","","Hasta Mitra","",1995,NA,"979865904X",9789798659041,"","H2","Unknown",NA,"Book","Historical novel. - from Amzon","",""
"165","Berinvestasi untuk Masa Depan Papua & Papua Barat","","","","","The World Bank","",2009,NA,"",9789791687621,"","H2","",NA,"Book","","",""
"219","Business in Indonesia","","","Richard Mann","","Gateway Books","",1995,NA,"0921333277",NA,"","H2","",NA,"Book","","",""
"234","Charting the Shape of Early Modern Southeast Asia","Anthony Reid","","","","Silkworm Books","",2000,NA,"9747551063",9789747551068,"","H2","Unknown",NA,"Book","In this volume Anthony Reid positions Southeast Asia on the stage of world history. He argues that the region not only had a historical character of its own, but that it played a crucial role in shaping the modern world.<br><br>Southeast Asia’s interaction with the forces uniting and transforming the world is explored through chapters focusing on Islamization; Chinese, Siamese, Cham, and Javanese trade; Makasar’s modernizing moment; and slavery. The last three chapters examine from different perspectives how this interaction of relative equality shifted to one of an impoverished “third world” region exposed to European colonial power. at UCLA. - from Amzon","Southeast Asia, Asian, Middle Eastern",""
