"","Title","Authors","Co.authors","Editors","Illustrators","Publisher","Edition","Year","Volume","ISBN","ISBN13","ISSN","Call.No","Category","Subject","Type","Description","Tags","Series"
"4","(Mimpi) Anggaran untuk Rakyat Miskin: Arah dan Strategi Pengelolaan APBN dari Era Orde Baru Hingga Era Reformasi","","","","","Dompet Dhuafa","",2016,NA,"",9786027807648,"","F3","Indonesian Studies",NA,"Publication","","",""
"92","ARCHIS: Architectuur Stedebouw Beeldende Kunst Architecture Urbanism Visual Arts","","","","","","",NA,NA,"",NA,"","F3","Architecture",NA,"Book","","",""
"129","augusto boal","","","Adrian Jackson","","Routledge","",1995,NA,"0415103495",NA,"","F3","",NA,"Book","","",""
"225","CARBON MARKETS or CLIMATE FINANCE? Low Carbon and Adaptation Investment Choice for the Developing World","","","","","Routledge","",2012,NA,"",NA,"","F3","Ecology",NA,"Book","","",""
"319","Directory GBC Indonesia 2011","","","","","Green Building Council Indonesia","",2011,NA,"",NA,"","F3","Architecture",NA,"Publication","","",""
"339","Economics Of Industrial Ecology : Material, Structural Change, and Spatial Scales","","","Jeroen C.J.M","","The MIT Press","",NA,NA,"",NA,"","F3","Ecology",NA,"Book","","",""
"358","Environmental Economics: Concepts, Methods and Policies","Dodo Thampapillai","","","","Oxford University Press","",2002,NA,"0195535774",9780195535778,"","F3","Unknown",NA,"Book","This book provides comprehensive treatment of environmental economics. This innovative work illustrates a novel approach to the formulation of environmental policy by developing the pertinent concepts and methods of economics by establishing links between the environment and the economy by recourse to the laws of thermodynamics. - from Amzon","Environmental Economics, International, Environmental, Natural Resources, International Business",""
"385","Forts in Indonesia","","","","","Ministry of Education and Culture Republic of Indonesia","1",2012,NA,"",9789791274616,"","F3","History",NA,"Book","","",""
"386","Forts in Indonesia","","","","","Ministry of Education and Culture Republic of Indonesia","1",2012,NA,"",NA,"","F3","History",NA,"Book","","",""
"491","Human Aspects of Urban Form: Towards a Man-Environment Approach to Urban Form and Design","","","","","pergamon Press Oxford","",1971,NA,"0080179746",NA,"","F3","Urbanism",NA,"Book","","",""
"522","In the City of the Future: Intelligent-Climate-Friendly-Ecological?","","","","","Federal Ministry of Education and Research","",NA,NA,"",NA,"","F3","Urbanism",NA,"Book","","",""
"541","INDUSTRIAL ECOLOGY","Thomas Graedel","","","","Pearson Education, Inc.","Second",2003,NA,"0130467138",NA,"","F3","Ecology",NA,"Book","","",""
"543","Influencer: The New Science of Leading Change","","","","","McGraw-Hill Education","",2013,NA,"",9780071808866,"","F3","Urbanism",NA,"Book","","",""
"557","Introduction to Environmental Economics","Nick Hanley; Jason F. Shogren; Ben White","","","","Oxford University Press","",NA,NA,"",NA,"","F3","economy",NA,"Book","","",""
"572","Jakarta Binnale","","","","","","",2013,NA,"",NA,"","F3","Publication",NA,"Publication","","","Jakarta Binnale"
"691","Konsep Kota Hijau di Metropolitan Jakarta; Aplikasi dan Tantangannya","","","Jo Santoso","","Pusat Studi Metropolitan Universitas Tatumanagara","1",2015,NA,"",9786027348813,"","F3","Urbanism",NA,"Book","","",""
