"","Title","Authors","Co.authors","Editors","Illustrators","Publisher","Edition","Year","Volume","ISBN","ISBN13","ISSN","Call.No","Category","Subject","Type","Description","Tags","Series"
"130","Backpacking Hemat ke Australia","","","","","Baackpacker Dunia Publishing","",2009,NA,"",9786029572506,"","B3","",NA,"Book","","",""
"209","Buletin Bumi","","","","","","",NA,NA,"",NA,"","B3","Urbanism",NA,"Publication","","",""
"286","Criminal Defamation is an Unconstitusional Restriction on Freedom of Speech","","","","","ELSAM-Institute For Policy Research and Advocacy","",2010,NA,"",NA,"","B3","Law",NA,"Book","","",""
"307","Desa Wisata Borobudur: Tersembunyi di 20 Desa Wisata: Wisata Alam, Agrowisata, Kuliner, Kerajinan, Tradisi, & Homestay","","","","","PT Gramedia Pustaka Utama","",NA,NA,"",9789792290783,"","B3","Tourism",NA,"Book","","Borobudur, Pariwisata",""
"328","DSain","","","","","","",NA,NA,"",NA,"","B3","Architecture",NA,"Publication","","",""
"373","Federalisme untuk Indonesia","","","","","Penerbit Buku Kompas","",2000,NA,"9799251052",NA,"","B3","Indonesian Studies",NA,"Book","","",""
"495","Humanity Journey","","","","","","",NA,NA,"",NA,"","B3","Philosophy",NA,"Book","","","Nilai-nilai kemanusiaan"
"513","ilmu gaib di kalimantan barat","hermansyah","","","","KPG (Kepustakaan Populer Gramedia) dan École française d'Extrême-Orient","",2010,NA,"",9789799102355,"","B3","Unknown",NA,"Book","","",""
"646","Kamus Inggris-Indonesia","","","","","PT Gramedia Pustaka Utama","",1997,NA,"",NA,"","B3","Dictionary",NA,"Book","","",""
"695","Korea","","","","","c3p","",NA,NA,"",NA,"","B3","Urbanism",NA,"Publication","","",""
"714","Kuasa Ramalan: Pangeran Diponegoro dan Akhir Tatanan Lama di Jawa, 1785-1855","Peter Carey","","","","PT Gramedia Pustaka Utama","1",2007,NA,"",9789799103932,"","B3","History",NA,"Book","","","Kuasa Ramalan"
"715","Kuasa Ramalan: Pangeran Diponegoro dan Akhir Tatanan Lama di Jawa, 1785-1855","Peter Carey","","","","PT Gramedia Pustaka Utama","2",2007,NA,"",9789799103949,"","B3","History",NA,"Book","","","Kuasa Ramalan"
"716","Kuasa Ramalan: Pangeran Diponegoro dan Akhir Tatanan Lama di Jawa, 1785-1855","Peter Carey","","","","PT Gramedia Pustaka Utama","3",2007,NA,"",9789799104205,"","B3","History",NA,"Book","","","Kuasa Ramalan"
"846","Monocle","","","","","","",NA,NA,"",NA,"","B3","Urbanism",NA,"Other","","",""
"865","Naik Haji di Masa Silam Tahun 1954-1964","Henri Chambert-Loir","","","","Kepustakaan Populer Gramedia","3",2013,NA,"",9789799106582,"","B3","Islam",NA,"Book","","",""
"866","Naik Haji di Masa Silam Tahun 1954-1964","Henri Chambert-Loir","","","","Kepustakaan Populer Gramedia","2",2013,NA,"",9789799106575,"","B3","Islam",NA,"Book","","",""
"867","Naik Haji di Masa Silam Tahun 1954-1964","Henri Chambert-Loir","","","","Kepustakaan Populer Gramedia","1",2013,NA,"",9789799106568,"","B3","Islam",NA,"Book","","",""
"1056","Pura Besakih: Pura, Agama, dan Masyarakat Bali","David J","","","","Pustaka Larasan","",2010,NA,"",9789793790367,"","B3","Anthropology",NA,"Book","","",""
"1062","Rakyat Miskin Kota Menulis Riwayatnya Sendiri","","","","","Urban Poor Consortium","",2003,NA,"",NA,"","B3","Urbanism, Indonesian City",NA,"Book","","",""
"1204","Students go Anti Corruption","","","","","Masyarakat Transparansi Indonesia","",2011,NA,"",NA,"","B3","Law",NA,"Book","","",""
"1247","Tata Kota Bekasi: Rupa Ruang Kota Kita","","","","","Jurnal Tata Kota","",2014,NA,"",NA,"","B3","Urbanism",NA,"Publication","","",""
"1366","The Production of Space","Henri Lefebvre","","","","Blackwell Publishing","",1991,NA,"",NA,"","B3","Philosophy",NA,"Book","","Philosophy",""
