"","Title","Authors","Co.authors","Editors","Illustrators","Publisher","Edition","Year","Volume","ISBN","ISBN13","ISSN","Call.No","Category","Subject","Type","Description","Tags","Series"
"48","Abitare: Reading the Designed Environment","","","","","FANTINI rubinetti","",NA,NA,"",NA,"","G3","Design",NA,"Publication","","",""
"64","Air Berkah atau Musibah?","","","","","Jurnal Tata Kota","",2014,NA,"",NA,"","G3","Urbanism",NA,"Publication","","","Jurnal Tata Kota"
"91","Archis: Architecture City Visual Culture","","","","","Archis","",NA,NA,"",NA,"","G3","Architecture",NA,"Publication","","",""
"97","Architecture und Stadtebau Steit 1968","","","","","ARCH","",1998,NA,"",NA,"","G3","Architecture",NA,"Publication","","","Psychogeographie Neue Disziplin Organitech"
"124","Asian Multilingual Thesaurus of Geosciences. English-Khmer-Chinese-Indonesian-Japanese-Korean-Lao-Malaysian-Thai-Vietnamese-French","","","Coordinating Committee for Geoscience Programmes in East and Southeast Asia","","UNESCO","1",2006,NA,"",NA,"","G3","Geoscience",NA,"Book","","",""
"139","Bangka Tin and Mentok Pepper: Chinese Settlement on an Indonesian Island (Social issues in Southeast Asia / Institute of Southeast Asian Studies)","Mary F. Somers Heidhues","","","","Institute of Southeast Asian Studies","",2008,NA,"9813035994",9789813035997,"","G3","Unknown",NA,"Book","This study deals with the history of Chinese settlement on Bangka, Indonesia's ""tin island"", from its beginnings in the early 18th century to the present. The distinctively Chinese organization of raw-material production, the importation of labourers, and the gradual formation of a Chinese community are central themes, but also of concern is the impact of these developments on the local population. Technological change and government policies, both colonial and Indonesian, add to the picture. On the one hand, the book is a contribution to Indonesian local history; on the other, it presents much material for comparison with Chinese settlements elsewhere in Southeast Asia. - from Amzon","China, Ethnic Studies",""
"156","Bencana Gempa dan Tsunami","","","P. Cahanar","","Penerbit Buku Kompas","1",2005,NA,"",9789797091736,"","G3","Geography",NA,"Book","","",""
"236","Chemicals in Your Community","","","","","United States Environmental Protection Agency","",NA,NA,"",NA,"","G3","Ecology",NA,"Publication","","",""
"250","City Upgrading is Possible","","","","","","",2012,NA,"",NA,"","G3","Urbanism",NA,"Publication","","","Here`s Proof in 165 Asian Cities that Citywide Slum Upgrading Works, when People do it"
"251","Cityscapes: re-thinking urban things","","","","","African Center for Cities","",2012,NA,"",NA,"","G3","Urbanism",NA,"Publication","","",""
"285","CreativeCapital: Culture, Comunity and Vision","","","","","Santa Monica College","A Plan for The Development of Santa Monica`a Arts and Culture",2007,NA,"",NA,"","G3","Housing",NA,"Book","","",""
"324","DnA_Design and Architeectire, Beijing: Architecture as Transformer Projects 2004-2018","","","","","Kristin Feireiss, Hans-Jurgen Commerrell","Art Museum",2018,NA,"",NA,"","G3","Architecture",NA,"Publication","","",""
"396","Futurarc: People Commitment, Collaborations, Champions Why People Power is Key to a Sustainable Future","","","","","","",2009,NA,"",NA,"","G3","Architecture",NA,"Publication","","","Next Q3 2009 FuturArc Issue: The Green Edition"
"435","Greeners Jurnal Future Transport Berkendara dan Berkesadaran Ekologis","","","","","Greeners","",2008,NA,"",NA,"19076797","G3","Ecology",NA,"Publication","","","Sengkarut Angkutan Umum"
"436","Greenhouse Gas Emissions","","","","","STOCKHOLMS STAD","",2002,NA,"",NA,"","G3","Ecology",NA,"Publication","","",""
"458","Harvard Business Review on Green Business Strategy (Harvard Business Review Paperback Series)","","","","","Harvard Business School Press","",2007,NA,"1422121089",9781422121085,"","G3","Unknown",NA,"Book","Just a decade ago, the term ""green building strategy"" evoked visions of fringe environmentalism and a high cost for minimal good. More recently, there's been a large shift in perception, an awakening of social consciousness, and a realization that a strategy good for the world can also be good for your bottom line. Green Business Strategy is no longer an option; the future depends on it. This collection of HBR articles gets to the heart of why you should and must put a socially-responsible strategy at the top of your CEO's agenda. - from Amzon","Environmental Economics, Sustainable Development, Green Business, Business Development",""
"462","Heritage at Risk Sepcial Edition. Underwater Cultural Heritage at Risk: Managing Natural and Human Impacts","","","Robert Grenier","","ICOMOS (International Council on Monuments and Sites)","1",2006,NA,"",NA,"","G3","History",NA,"Book","","","Heritage at Risk"
