"","Title","Authors","Co.authors","Editors","Illustrators","Publisher","Edition","Year","Volume","ISBN","ISBN13","ISSN","Call.No","Category","Subject","Type","Description","Tags","Series"
"54","Advancing Inclusive and Sustainable Urban Development: Correcting Planning Failures and Connecting Communities to Capital","Eric S. Belsky; Nicholas DuBroff; Daniel McCue; Christina Harris; Shelagh McCartney; Jennifer Molinsky","","","","Joint Center for Housing Studies of Harvard University","",2013,NA,"",NA,"","E2","",NA,"Publication","","",""
"85","An Urbanizing World","","","","","Institut für Auslands-beziehungen e.V","",NA,NA,"",NA,"","E2","",NA,"Publication","","",""
"144","Bantuan Teknis. Penyusunan Rencana Tata Ruang Kawasan Perkotaan Labuan Bajo Kabupaten Manggarai Barat - NTT","","","","","Departemen Pekerjaan Umum Direktorat Jenderal Penataan Ruang","",NA,NA,"",NA,"","E2","",NA,"Publication","","",""
"171","Berlin: offene Stadt 1. Stadt als Ausstellung.","Peter Berlin","","","","Nicolaische Verlagsbuchhd","",2000,NA,"3875847725",9783875847727,"","E2","Unknown",NA,"Book","","",""
"196","Brussels and its beauties","","","","","Thill","",1988,NA,"",NA,"","E2","",NA,"Book","","",""
"199","Budapest, Bildband mit 93 Farbfotos","Peter Dobai","","","","Corvina","",1989,NA,"9631327825",9789631327823,"","E2","",NA,"Book","","",""
"204","Buitenzorg. Kota Terindah di Jawa. Catatan perjalanan dari tahun 1860-1930","Baehaqie","","","","","",NA,NA,"",9786029526707,"","E2","",NA,"Book","","",""
"240","Cities in a World Economy (Sociology for a New Century Series)","Saskia Sassen","","","","Pine Forge Press","3rd",2006,NA,"1412936802",9781412936804,"","E2","Unknown",NA,"Book","The <strong>Third Edition</strong> of <strong>Cities in a World Economy</strong> shows how certain characteristics of our turn-of-the-millennium flows of money, information, and people have led to the emergence of a new social formation: global cities. These developments give new meaning to such fixtures of urban sociology as the centrality of place and the importance of geography in our social world. - from Amzon","Urban, Globalization, Economics, International Business, Sociology",""
"245","Cities of Tomorrow: An Intellectual History of Urban Planning and Design in the Twentieth Century","Peter Hall","","","","Basil Blackwell","",1988,NA,"0631134441",9780631134442,"","E2","Unknown",NA,"Book","This is a history of the ideas, events and personalities that shaped the cities of the world during the twentieth century. Peter Hall shows the benevolent influence of the anarchist ideals of Reclus and Kropotkin in the work of Howard, Geddes and Lloyd Wright, which found expression in garden cities and community planning. He contrasts this with the totalitarian vision of Le Corbusier which, spurned by Mussolini and Stalin, was enthusiastically taken up by countless city authorities in Europe and America. He explores the nightmare cities of Brasilia and Chandigarh and seeks the origins of the high-rise slums and vandalized spaces that afflict the lives of so many people. Planners have become the handmaidens of business, architects the designers of spectacle: both have retreated from any active interest in real, social achievement. Meanwhile the threat to civilized life represented on the one hand by the despair and resentment of the urban underclass and on the other by uncontrolled demolition and development, remains as real and as intractable as ever. Peter Hall is author of over 20 books on planning and related subjects including ""London 2000"", ""The World Cities"" ""Great Planning Disasters"" and ""High Tech America"". He has been credited with the invention of the ""urban enterprise zone"" concept. He is widely known throughout the west for his contributions both to the practice and to the theory of city and regional planning. - from Amzon","Arts & Photography, France, Germany, Historiography",""
"248","City of Quartz: Excavating the Future in Los Angeles","Mike Davis","","","","Vintage","Reprint",1992,NA,"0679738061",9780679738060,"","E2","Unknown",NA,"Book","","Cultural, Urban",""
