"","Title","Authors","Co.authors","Editors","Illustrators","Publisher","Edition","Year","Volume","ISBN","ISBN13","ISSN","Call.No","Category","Subject","Type","Description","Tags","Series"
"65","Air untuk Kehidupan: Mengairi Negeri Mengantar Kehidupan","Tim Dompet Dhuafa","","","","Dompet Dhuafa","",2013,NA,"",9786027807228,"","G2","",NA,"Book","","",""
"207","Buku Panduan Mangrove di Indonesia","Shozo Kitamura; Chairil Anwar; Amalyos Chaniago; Shigeyuki Baba","","","","International Society for Mangrove Ecosystems","",1997,NA,"9796060779",NA,"","G2","",NA,"Book","","",""
"223","Candi Indonesia Seri Sumatera Kalimantan Bali Sumbawa","","","Wiwin Djuwita Sudjana Ramelan","","Kementerian Pendidikan dan Kebudayaan","1",2014,NA,"",9789798250484,"","G2","History",NA,"Book","","","Candi Indonesia"
"224","Candi Seri Jawa","","","Wiwin Djuwita Sudjana Ramelan","","Kementerian Pendidikan dan Kebudayaan","1",2013,NA,"",9786021766934,"","G2","History",NA,"Book","","","Candi Indonesia"
"259","Climate change in Brazil : economic, social and regulatory aspects.","Ronaldo Seroa da Motta","","","","Instituto de Pesquisa Econômica Aplicada. IPEA","",2017,NA,"8578111281",9788578111281,"","G2","Unknown",NA,"Book","","",""
"265","Community-Based Disaster Risk Management: Field Practitioners' Handbook","Imelda Abarquez; Zubair Murshed","","","","ADPC","",2004,NA,"",NA,"","G2","",NA,"Book","","","Community-Based Disaster Risk Management"
"266","Community-Based Disaster Risk Management: Integration to Socio-economic Development Process","Dr. Le Huu Ti","","","","UNESCAP","",2004,NA,"",NA,"","G2","",NA,"Book","","","Community-Based Disaster Risk Management"
"272","Confronting Climate Change: Economic Priorities and Climate Protection in Developing Nations","","","B. Biagini","","National Environmental Trust","",2000,NA,"",NA,"","G2","",NA,"Book","","",""
"306","Dengan Transportasi Air Kita Jangkau Seluruh Pelosok Nusantara","","","Darmaningtyas; Rosita Sinaga; Kartika Mulia Ratih; Kustining","","Badan Penelitian dan Pengembangan Kementerian Perhubungan ","",2014,NA,"",9789791538565,"","G2","",NA,"Book","","",""
"321","Disaster Management and People: Working Toward the Creation of a Strong Society","","","","","The Japan Foundation","",2012,NA,"",9784875401520,"","G2","",NA,"Book","","",""
"347","ENCYCLICAL LATTER LAUDATO SI` OF THE HOLY FATHER FRANCIS ON CARE FOR OUR COMMON HOME","","","","","VATICAN PRESS","",NA,NA,"",NA,"","G2","Ecology",NA,"Book","","",""
"349","End of Millennium (Information Age Series) (Vol 3)","Manuel Castells","","","","Wiley-Blackwell","1",1998,NA,"1557868727",9781557868725,"","G2","Unknown",NA,"Book","","New Age & Spirituality, Human Geography, Cultural, Sociology, Geography, Anthropology, Sociology",""
"359","Environmental Education and NGOs in Indonesia","","","Ko Nomura; Latipah Hendarti","","Yayasan Obor Indonesia","",2005,NA,"9794615471",NA,"","G2","",NA,"Book","","",""
"375","Fikih Kebencanaan","","","","","Majelis Tarjih dan Tajdid Pimpinan Pusat Muhammadiyah","",2015,NA,"",NA,"","G2","",NA,"Book","","",""
"445","Guidebook to The Gunung Leuser National Park","","","","","Orangutan Information Centre","",2009,NA,"",9786029531206,"","G2","",NA,"Book","","",""
"446","GyeongGi Green Global Forum 2011","","","","","Gyeonggi","",2011,NA,"",NA,"","G2","Ecology",NA,"Publication","","",""
"451","Han Putoh Meuharap: Langkah-langkah Kecil Menuju Masa Depan","","","","","Yayasan Pulih","",2007,NA,"",NA,"","G2","",NA,"Book","","",""
"456","Happy Tropics No. 1","","","Michael Schindhelm; Damian Christinger","","Connecting Spaces","Connecting Spaces Documents #10",2016,NA,"",9783952474129,"","G2","",NA,"Book","","",""
"489","Hukum Lingkungan Internasional: Penerapan Prinsip Tanggung Jawab Negara","Deni Bram, SH, MH","","","","Cintya Press Jakarta","",2008,NA,"",9789793059549,"","G2","",NA,"Book","","",""
"531","Indonesia Fuel Quality Report 2011","Ahmad Safrudin; Linda Krisnawati; Aditya Mahalana","","","","Kementerian Lingkungan Hidup Republik Indonesia","",NA,NA,"",9786021961506,"","G2","",NA,"Book","","",""
"538","Indonesian Fuel Quality Report 2006","","","","","Kementerian Lingkungan Hidup Republik Indonesia","",2006,NA,"",NA,"","G2","",NA,"Book","","",""
"609","Jurnal Hukum Lingkungan Indonesia","","","","","Indonesian Center for Environmental Law","Volume 03 Issue 01",2016,NA,"",NA,"23551305","G2","",NA,"Journal","","",""
"610","Jurnal Hukum Lingkungan Indonesia","","","","","Indonesian Center for Environmental Law","Volume 1 Issue 2",2014,NA,"",NA,"","G2","",NA,"Journal","","",""
